State,GSDP Growth (At Current prices),Fertility Rate (Urban),Fertility Rate (Rural),Total Fertility Rate,Population,Density,Literacy
Mizoram,17.56,1.6,2.2,1.9,1097206,52,91.58
Tripura,14.66,1.4,1.8,1.7,3673917,350,87.75
Gujarat,13.61,1.7,2,1.9,60439692,308,82.4
Karnataka,13.77,1.5,1.8,1.7,61095297,319,77.2
Haryana,13.79,1.7,2,1.9,25351462,573,80.4
Delhi,12.31,1.6,2.5,1.6,16787941,11,88.7
Telangana,13.3,1.8,1.7,1.8,35003674,312,72.8
Sikkim,14.56,0.7,1.3,1.1,610577,86,82.2
Uttarakhand,11.44,1.8,1.9,1.9,10086292,189,73
Chandigarh,12.27,1.4,-,1.4,1055450,9,77.3
Madhya Pradesh,14.48,1.8,2.1,2,72626809,236,73.7
Andhra Pradesh,12.49,1.5,1.8,1.7,49577103,303,66.4
Assam,11.99,1.5,1.9,1.9,31205576,398,85.9
Odisha,11.37,1.5,1.9,1.8,41974219,269,77.3
Himachal Pradesh,11.31,1.4,1.7,1.7,6864602,123,86.6
Tamil Nadu,11.71,1.6,1.9,1.8,72147030,555,82.9
Maharashtra,10.87,1.5,1.9,1.7,112374333,365,84.8
Rajasthan,11.69,1.7,2.1,2,68548437,201,69.7
Uttar Pradesh,11.86,1.9,2.5,2.4,199812341,828,87.6
Kerala,11.54,1.8,1.8,1.8,33406061,859,96.2
Bihar,11.55,2.4,3.1,3,104099452,1,70.9
Arunachal Pradesh,12.26,1.4,1.9,1.8,1383727,17,66.95
Jharkhand,10.4,1.6,2.5,2.3,32988134,414,74.3
Manipur,11.73,1.8,2.4,2.2,2570390,122,79.85
Punjab,10.22,1.6,1.7,1.6,27743338,551,83.7
Chhattisgarh,9.88,1.4,1.9,1.8,25545198,189,86.43
Jammu & Kashmir,10.45,1.2,1.5,1.4,12267032,297,77.3
Goa,8.93,1.3,1.4,1.3,1458545,394,87.4
Nagaland,12.27,1.2,2,1.7,1978502,119,80.11
West Bengal,11.17,1.4,1.7,1.6,91276115,1,80.5
Puducherry,10.88,1.6,1.2,1.5,1247953,2,86.55
Meghalaya,7.76,1.6,3.3,2.9,2966889,132,75.48
Andaman & Nicobar Islands,-,1.4,1.2,1.3,380581,46,86.27
Dadra & Nagar Haveli and Daman & Diu,NA,1.7,1.9,1.8,585764,970,77.65
Ladakh,NA,1.4,1.3,1.3,274000,2,NA
Lakshadweep,NA,1.4,1.5,1.4,64473,2,92.28
